"Name","Price","Size","InStock","DeliveryAvailable","URL"
"Auchavan 8yr Islay Blended Malt","$44.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/auchavan-8yr-islay-blended-malt/p/189850750?s=1701&igrules=true"
"Islay Gold 25 YR","$149.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/islay-gold-25-yr/p/219852750?s=1701&igrules=true"
"Glen Moray Classic Sherry Cask Finish","$30.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-moray-classic-sherry-cask-finish/p/192557750?s=1701&igrules=true"
"Creag Isle 33YR Islay Single Malt","$299.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/creag-isle-33yr-islay-single-malt/p/219122750?s=1701&igrules=true"
"Glenmorangie Grand Vintage 1991","$749.99","750ml","Limited Quantity","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenmorangie-grand-vintage-1991/p/220182750?s=1701&igrules=true"
"Deanston 14 Yr Organic","$84.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/deanston-14-yr-organic/p/180243750?s=1701&igrules=true"
"Speyburn Arranta","$42.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/speyburn-arranta/p/162032750?s=1701&igrules=true"
"Glen Scotia Double Cask","$44.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-scotia-double-cask/p/178988750?s=1701&igrules=true"
"Ainsley Brae Royal Brackla 12 Yr","$64.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/ainsley-brae-royal-brackla-12-yr/p/144657750?s=1701&igrules=true"
"Mossburn Mannochmore 11 Yr Single Malt Whisky","$99.99","750ml","Limited Quantity","Available","https://www.totalwine.com/spirits/scotch/single-malt/mossburn-mannochmore-11-yr-single-malt-whisky/p/219836750?s=1701&igrules=true"
"AnCnoc Cutter Single Malt","$75.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/ancnoc-cutter-single-malt/p/149215750?s=1701&igrules=true"
"Duncan Taylor Single Cragganmore 28yr","$559.99","750ml","","","https://www.totalwine.com/spirits/scotch/single-malt/duncan-taylor-single-cragganmore-28yr/p/172406750?s=1701&igrules=true"
"Kavalan Whisky Moscatel Sherry Cask Strength","$489.99","750ml","","","https://www.totalwine.com/spirits/scotch/single-malt/kavalan-whisky-moscatel-sherry-cask-strength/p/180545750?s=1701&igrules=true"
"Duncan Taylor Single Blair Atholl 24YO","$389.99","750ml","","","https://www.totalwine.com/spirits/deals/scotch/single-malt/duncan-taylor-single-blair-atholl-24yo/p/173048750?s=1701&igrules=true"
"Duncan Taylor Single Bruichladdich 23Y","$369.99","750ml","","","https://www.totalwine.com/spirits/deals/scotch/single-malt/duncan-taylor-single-bruichladdich-23y/p/173049750?s=1701&igrules=true"
"Benromach 10Yr","$44.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/benromach-10yr/p/110575750?s=1701&igrules=true"
"Duncan Taylor Single Linkwood 25 YO","$354.99","750ml","","","https://www.totalwine.com/spirits/deals/scotch/single-malt/duncan-taylor-single-linkwood-25-yo/p/173052750?s=1701&igrules=true"
"Glenmorangie w/ 50ml Lasanta & Tumbler","$57.99","750ml Btl","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenmorangie-w-50ml-lasanta-tumbler/p/220117750?s=1701&igrules=true"
"Alexander Murray Bruichladdich Aged 12 Years Cask Strength","$114.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/alexander-murray-bruichladdich-aged-12-years-cask-strength/p/216776750?s=1701&igrules=true"
"Glen Garioch 12 Yr","$52.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-garioch-12-yr/p/130468750?s=1701&igrules=true"
"Glenmorangie Pride 1978","$5,699.99","1L","Limited Quantity","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenmorangie-pride-1978/p/142547010?s=1701&igrules=true"
"Singleton 38 Yr Special Release","$1,199.99","750ml","","","https://www.totalwine.com/spirits/scotch/single-malt/singleton-38-yr-special-release/p/145265750?s=1701&igrules=true"
"Tomintoul 25 Yr","$439.99","750ml","","","https://www.totalwine.com/spirits/scotch/single-malt/tomintoul-25-yr/p/194106750?s=1701&igrules=true"
"Laphroaig 10 Yr","$41.99","750ml","Out of Stock","Out of Stock","https://www.totalwine.com/spirits/scotch/single-malt/laphroaig-10-yr/p/3697750?s=1701&igrules=true"
"Ardbeg 10yr","$49.99","750ml","Out of Stock","Out of Stock","https://www.totalwine.com/spirits/scotch/single-malt/ardbeg-10yr/p/95385750?s=1701&igrules=true"
"Dalmore 12 Yr","$64.99","750ml","Out of Stock","Out of Stock","https://www.totalwine.com/spirits/scotch/single-malt/dalmore-12-yr/p/5128750?s=1701&igrules=true"
"Balvenie 21 Yr Port Wood","$229.99","750ml","Out of Stock","Out of Stock","https://www.totalwine.com/spirits/scotch/single-malt/balvenie-21-yr-port-wood/p/19089750?s=1701&igrules=true"
"Glenlivet 12 Yr First Fill","$49.99","750ml","Out of Stock","Out of Stock","https://www.totalwine.com/spirits/scotch/single-malt/glenlivet-12-yr-first-fill/p/192980750?s=1701&igrules=true"
"Aberlour 16 Yr","$77.99","750ml","Out of Stock","Out of Stock","https://www.totalwine.com/spirits/scotch/single-malt/aberlour-16-yr/p/37235750?s=1701&igrules=true"
"Grangestone 12 Yr Single Malt Scotch Whisky","$69.99","1.75L","Out of Stock","Out of Stock","https://www.totalwine.com/spirits/scotch/single-malt/grangestone-12-yr-single-malt-scotch-whisky/p/115861175?s=1701&igrules=true"
"Glen Ness Single Malt Scotch Whisky","$37.99","1.75L","Out of Stock","Out of Stock","https://www.totalwine.com/spirits/deals/scotch/single-malt/glen-ness-single-malt-scotch-whisky/p/2013175?s=1701&igrules=true"
"Laphroaig Select","$29.99","750ml","Out of Stock","Out of Stock","https://www.totalwine.com/spirits/scotch/single-malt/laphroaig-select/p/145179750?s=1701&igrules=true"
